stemming_data,Compound_Score,sentiment
kemarin make up jam pagi berangkat kerja motor kena panas gak touch make up stay gak geser gak cakey httpstcocicfyb,0.0,netral
ga dibandingin negara musim deh kayak panas terik aja kadang angin dingin ujan jarang hujan badai gitu spraying doang jakarta panas taun hujan badai,0.0,netral
otak kosong,0.0,netral
nyesel ga beli merch kaos jg krn merch gw jkt kayak dlmnya bulu panas,0.0,netral
demam badan serasa gg badan panas dingin kuat in ngebahas prediksi uji sekolah kuat in pergi kerja kuat in ngajar prediksi selesai senang yg ajar ngerti sm jg senang kasih soa prediksi,0.296,positif
nalarnatural narkosun neraka panas doyan ,0.0,netral
sudahka nonton solo leveling termotivasika workout moga bukanji panas tai ayam,0.0,netral
lunes no acepto este mongoliquismo de ninguno de mis panas,-0.296,negatif
musim panas cuba cool fever spray ni httpstcovzfwjhi ni benda wajib kampung fuh panas serba kena jadi httpstcoaoudapxnyj,0.3182,positif
panas bgt goblok,0.0,netral
echo por mi pana javicito lo quiero mucho a mis panas httpstcorlmortncp,0.0,netral
foodfess api besar minyak udah panas,0.0,netral
hyunjinundip undipmenfess kak ss woolworths rasa bikin panas ga dipake white cast nya ga ga wangi gtu,0.0,netral
jayscfaibregas sokmo beli the black sambal pedas manje je makan nasi panas telur dadar nge sambal tu rase nok tubik air mate doh sambal bilis garing che nor jaddi gok,0.0,netral
pueden comentar panas httpstcorwdvgzc,0.0,netral
dennysiregar salah nya ds pilih kamar dgn begundal nikmat elus berhala sesembhannya panas bin kesal,0.0,netral
udimien jmblunk ummuibnrizq bangzhack gibrantweet lu mah sok iye sok pinter panas ih liat orng bnyk omong gin,0.5574,positif
bacolumbia chroniclea idih manja banget dahal nyebrang doang bentar gamau kena panas hujan,0.0,netral
siang panas banget kl ujan lantai licin aneh emang konsep ,0.0,netral
djokerginongs teddgus panas ya wkakaka,0.0,netral
mnju ga mempan kek deh panas liat illit sukses ,0.0,netral
suhu dingin embun uap panas embun,0.0,netral
anjggg kenapasih ditaro x panas bejir,0.0,netral
bellheree maooooo,0.0,netral
snwb jg udh panas,0.0,netral
ayer me invitaron al avant premier de duna y no pude ir hoy me regalan entradas ma ana me quieren mucho mis panas ,-0.296,negatif
ebiipurai ,0.0,netral
tolonkkk jam puncak panas jam udah panas bangettttt httpstcomylutfhjq,0.0,netral
casuadll karna kota panas jdi kalo hujan ga asa dingin,0.0,netral
kombuchacoffe enggaaa panas banget,0.0,netral
lixueasa hujan panas,0.0,netral
kerlyjuleysi bonelsy zoomecuador la universidades deben gestionar bien los recursos reciben millones y millones tener secretarias la secretaria de la secretaria y aparte los puestos a los panas y familia trabajan ah desde el conserje hasta altos cargos y como escudo siempre los estudiantes,0.0,netral
fckfaster deresss,0.0,netral
panas  httpstcogdyivzsc,0.0,netral
suka malam hening sepi ga panas,0.0,netral
pdo bikin konten cewek napas panas banget orangorang ouroad bond is that strong lu mas takut those girls on pdos contents pdo gua lebi percaya hitler mati garut sih,0.5106,positif
pipis lokasi jpo atap stasiun mrt jd hujan panas bgt yg adem ya nyebrang underpass gaperlu tap kartu tinggal nyebrang aja jpo cantik sih turut emang fungsi wisata ya fungsi asli ganti underpass mrt,0.0,netral
gua jg tuju trotoar jpo atap batam pohon gede ditebangin lebarin jln trotoar adem kaga atep mane kalo siang panas terik banget jamin atap ga da kriminalitas yg susah halte aje dah gembel stay situ,0.0,netral
yo y unos panas creamos una organizaci n omf organizacion que molesta mujeres feministas todos los que den like sabr que son miembros de omf,0.3612,positif
iinmo yattie teddgus emang aja yg komendibilang panas kubu menang kasih tau laku kayak anak bocah tantrum,-0.4215,negatif
skrg gue tau knp banyak cewe tuh kl pas rumah yg bagus dapurnua emg masak tuh panas bgt mood bagus bjir bnr mertua w masakan enak engga gantung mood,0.0,netral
flaminhooot kasur posesip,0.0,netral
floxweur rani,0.0,netral
kemaren gerah abis turun tj trus turunin jembatan panas pollll kalo lg panas cuaca kalo bagus bilang bagus kalo jelek ya jelek aja ga bela anies nya busettt,0.0,netral
convomfs jalan kalo gak panas,0.0,netral
ebiipurai bangett,0.0,netral
gue yg panas mah httpstcojbfwgstrdx,0.0,netral
owloveable iya ujannya,0.0,netral
gustneg musim panas beli bek baruterlalu serang lawan nemvak onanavamos onana,0.0,netral
aprovechamos volveros a recomendar a los panas brasile os de beisebolmafora tremendo trabajo hacen vulgar el b isbol sobre todo de sus panitas as que ya sab is un follow que no cuesta nada como no cuesta entender lo que dicen en sus tweets,-0.5267,negatif
sosmedkeras klau diterusin dri situ nnti mati yg gw klau dh panas kek gt,0.2732,positif
teddgus curang nasi panas diaporkan bawaslu nasi goreng lapor mk makan rame hasil ti masuk sapiteng uap,0.0,netral
habis beli share in jar nya carasun yg ijo suami st impression pakai cocok sih yaa gada keluh yg gimana beli yg kuning sachet suami ga cocok muka aku panas,0.4767,positif
albertoacostab todos estos a os encargaron de desprestigiar sin importarles que el pa s caiga en la inmundicia tarea de ratas el subir el iva condonar deundas al fisco de panas y familia recortes presupuestarios etc eso no le da puntos vacona,-0.7003,negatif
necesito panas solteros que esten activo pa la vuelta cuando indique,0.0,netral
tidurpenting panas bgttt,0.0,netral
coba kali rasa panas jakarta coba tengok temperatur termometer ruang hp seringkali macem suhu celcius beda dgn kondisi bangkok sana utk capai c,0.0,netral
mackinprof i ve had a bunch of patients that can t get the drugs lose lbs with high protein diet and hr goal counseling guess what no heart attacks from the protein if you re not educating patients on lifestyle modification you re doing it wrong,-0.7758,negatif
smoga bsk panas plisss,0.0,netral
no voy a ser precisamente yo el que critique a un hombre infiel o a un promiscuo pero por qu tantos panas construyen un patrimonio con sus esposas durante a os y despu s lo despilfarran en la calle con otras mujeres como a quien le escapa un tiro p sima gerencia,-0.296,negatif
ya ga heran sih kalo badan panas kemarin udah nahanin badan biar ga bener drop,-0.2732,negatif
chroniclea tolong kalo otak dipake even atap turun jpo tetep panas hujan,0.0,netral
moga jalan tertib aman damai tp sy patut curiga kondisi panas demo istana tuntut ygvsalah sasar cabut uu omnibus law ranah perintah tp dpr amp mk tegak milu bersih jg ranah selenggara milu,0.0,netral
carinosocatador robertsw yo le digo eso a los panas en mi trabajo que una fufa cobra y hechan a reir,0.0,netral
empat final piala fa kali jamin panas httpstcotlwajaxh,0.0,netral
bisabisa nya trotoar pake atap gimana masyarakat nikmat dimensi ruang kalo gin kalah org jepang yg musim yg musim panas musim salju dingin banget kacau nih perintah nya,0.0,netral
herricahyadi liat kondisi iklim nya panas hujan jdi alahkan nya penting aspek keren klo hujan panas kluar sndiri tuh atao nya kaya stadion gede,0.0,netral
rheinaherlina semangkok bakso kuah panas yg pedaass,0.0,netral
claramente todo normal xdddd,0.0,netral
loh loh yg panas laporin gaji,0.0,netral
wroteapost dingin dingin panas pnas skli,0.0,netral
negritabendita vhgkasparov rcoficial ser que en la penitenciar a tienen todav a internet de seguro ah los camaradas apuntan los boy scouts de los lobos tigerones latin kings los panas de ruso,0.0,netral
annyelire klo banding jkt pas ak jakarta iya panas bgt,0.0,netral
slalu terfikir mcmna water purification laku kat tu and how we know its been purified klu dah byr mahal whats different between beli je stock mineral water rmctn nak panas sejuk tu kena rajin je la,0.0,netral
alertapanas javier d az presidente de la c mara del transporte tur stico del ecuador acompa ado de varios miembros del sector realizaron un plant n en la plaza grande en reclamo de sus derechos ya que asegura que existe una competencia desleal pues hay afectaciones a su httpstcohacaxtuy,0.0,netral
detikcom klonto,0.0,netral
yaboif herricahyadi andai kasih atap nyebrangkalau ujan keujanan nggak ya panas panas nggak,0.0,netral
frankiewestyt fnafarmyoffic fnafhispanosv bueno uno de mis juegos favoritos es poppt playtime por la historia mis animatronicos favoritos son withered bonnie y tiger rock de los tales from the pizzaplex mis panas prorobu y delicateforretr sorteosecuritybreach,0.0,netral
jepang kalo musim panas sampe c kak,0.0,netral
ya allah aja rawat inap badan lemes panas sampe  ,0.0,netral
teyeniecupcake panas,0.0,netral
bener bener panas anak anak muda efek kirkby,0.0,netral
panas kipas,0.0,netral
peopleplsure mulyanamul herricahyadi yaelah summer panas musim kemarau gk sih bang,0.0,netral
moga matahari panas jemur kering ,0.0,netral
eduardomenoni no hables as de tus panas caliches cachacos colombo bembeye porque esos no tan jugando carrito respeto pa tus pana ta claro diablo mosca pue,-0.5267,negatif
mesti masam pakai belit mcm ni dahla malaysia panas terik gila ewwww beli tudung mahal mahal just to bau masam during the day,0.0,netral
chroniclea jpo jg layak trotoar ngadem klo panas jg bkan ngiyup klo hujan gitu mbak,0.0,netral
mr constancia me llaman un placer mis panas contento a lo mejor players mejores dir n bueh no es pa tanto mi hay que estar tambi n ah si no juegas ni entrenas no vas a estar ah nunca httpstcohsikvywjy,-0.6808,negatif
stormrevenga igual partidas en discord con los panas y poco m s jajajajajja,-0.4019,negatif
drrubenmejia estoy suscrito a su canal hace mucho es un experto en debates igual que sus panas laje y marquez,0.0,netral
ryoyoyoww ameeennn napas udh panas sih,0.0,netral
azmooncoldest emang kaltim panas bgtt kah,0.0,netral
pickasouls adelyn please tinggalin noah he doesnt deserves anything fokus sheo ajadeh bikin noah nyesel senyeselnya adelyn sakit noah shooting adegan panas gilir adelyn deket sheo aja ga dibolehin ga egois nama,0.3182,positif
los panas,0.0,netral
semalem mati lampu panas bgt,0.0,netral
estebanavila los negocios de los panas de la fef,0.0,netral
temu kirim lokal original smeg thermal cup putih susu portable cangkir kopi dingin panas stainless steel insulated cups ml harga rp dapat shopee httpstcomwejwshia,0.3182,positif
nenkmonica anak abah panas hhhhhhhh,0.0,netral
stanislavg catdedmitiay                                 ,0.0,netral
lucu sih emang indonesia tuh dah tau musim panas ama ujan yg ga biasa bawa payung,0.0,netral
herricahyadi inti anies salah aja sih heran aja liat orang marah jpo ga atap panas banget hujan jpo minoritas dr jalan kaki lebih pakai trotoar ga atap,0.0,netral
dimarahin komplain panas jalan kaki jakarta gak bawa payung iya sih gue tau payung cuman hujan cuman gue terang kaya rasa gimana gitu make payung pas hujan ,0.0,netral
bueno y esta si ser solamente los panas fans de gotoubunnohanayome antho elfrutas diegoxrm damianelprimo fieranino itsthunderx cual de estos dos carros prefieren el toyota ae del otro fuutarou o el toyota gt de la otra yotsuba httpstconsiskr,0.2732,positif
orzaea tinggal masukin kopi gula air panas,0.0,netral
theaftterglow group apaaa,0.0,netral
kalo yg bawa iklim hey jga dampak krisis iklim parah dampak klo winter dingin bgt klo summer panas bgt heatwave cold surge istilah indonesia ga indonesia msih relatif hangat n nyaman skrg gerak arah yg buruk,0.0,netral
libremente estas fumada de la m s barata loca tus panas evasores ni pagan impuestos,0.0,netral
chroniclea keluh atap hujan panas manfaat minim kriminalitas ga tunawisma indah pandang jembatan hemat daya ga lampu ngaruh anggar daerah global warming dll kan,0.1531,positif
yo digo que alg n d a va a jugar un concierto de estos panas con el amor de mi vida,0.6124,positif
ga mud gue litereli pagi kuping gue panas,0.0,netral
annasyh nasi panas emg deg gede w makan nasi putih cm kali minggu,0.0,netral
los panas y yo en soriana despu s de un partido con direcci n al pasillo de las frutas,0.0,netral
quirkyalne iya klo pikir pikir ngulang stress utbk kali untung ga gila,-0.4215,negatif
hadir gagang ergonomis teko mudah pegang pindah tuang teh panas nyaman httpstcoezoiyxu,0.0,netral
hoy sal con mis amigos a jugar f tbol nada en serio partido entre panas y en unos de los goles me anim a hacer un chalaka c mo sali pues lo bueno fue gol patada bien ejecutada lo malo f espalda,0.0,netral
chroniclea panas gin aja ngeluh ,0.0,netral
jumintenkoplak ajar ajar salah orang ajar ajar salah yu njum cantik deh,0.0,netral
ya ngomel orang panas panas hujan hujan common sense aja mah,0.0,netral
ustdagus fajarnugros temen gw nyebutnya liam geliga bacot panas kayak balsem geliga ,0.0,netral
goraici tokyo negara temperate kalo musim panas ato celcius jakarta kalo panas jarang banget nyentuh atas yg paham iklim lokal jpo fungsi utk org singapur tu chinese takut item,0.0,netral
achupapoo siempreaes m s panas pa ti,0.0,netral
fak men kena minyak panas,0.0,netral
oferta unica en la vida mis panas,0.0,netral
award for best capitol national anthem of the year goes to edmond memorial high school it s dusty in here  httpstcopmhfqqby,0.8271,positif
kozirama panas maksimal jepang beda ler,0.0,netral
aikelok un descuentito pa los panas httpstcoyclquaza,0.0,netral
tos mi panas con los k de dry,0.0,netral
pas semester tes masuk salah pondok pesantren ponorogo pas dah sana maaghku kambuh badan panas tolak tubuh kali ya ya dri gk niat masuk ponpes iming hp,0.0,netral
empat final piala fa panas gimana prediksi  facup blnrin bolanet httpstcomwkulhyaf,0.0,netral
evelpisto serah agama gw hidup udah atur situ panas kalung kulkas sono dran drun musim met jamet httpstcotbwsutvg,0.0,netral
littleshana panas kejap jer kann,0.0,netral
panas banget kegnya kalo gw,0.0,netral
solisidtor hamzahzainudin dh tau ydpa pon panas dgn bangkang xyah la bikin gempak isu yg kait dgn ydpa otak letak bangkang ni lemahhh,0.0,netral
aymanblk hace poco eran unos ahora ha sumado el catal n xd este chico esta asi de deprimido y solo porque todos sus panas van pa dentro xd,0.875,positif
aqu de colegueo con los panas httpstcoyytotqzv,0.0,netral
elonmuskado,0.0,netral
banjarbase b sarumah wn mntuha wan kuit saurang hj rancak panas telinga ,0.0,netral
fugazipolitik yo le he dicho a panas mios que en cuba hay una estatua en honor a ubre blanca jaja,0.4939,positif
infolurah oposisi panas mskin lucu dasar barisn sumbu pendek emosiny gmpang main ,0.0,netral
ya allah lulusin ak utbk biar ak bs leluasa main the sims ,0.0,netral
el mehor debut siono panas httpstcoqatglyyit,0.0,netral
lks mkinibm anwar balas sikit je habis kena tarik balikkkk bangkang anwar gelak sengih panas,0.0,netral
miftahihsan kalo panas spicy sih,0.0,netral
emang absurd banget nih jpo asli panas panas sampe ubunubun kalo hujan licin lantai kayu bgsaattt,0.0,netral
panas,0.0,netral
los panas no fallan,-0.296,negatif
duros esos panas,0.0,netral
pixelgyu iiih gapapa ga kak perutnyaa panas mules ga,0.0,netral
convomfs logika kl emg gamau kerja kek gt nabung amp tp kerja haram tuh uang panas cpt habis ya hasut setan u jerumus lingkar hormat kerja cuci gosok jual nasi bungkus kek dll,0.2732,positif
mamaguevo la perfecci n entre panes no panas,-0.296,negatif
pagi pagi gin enak pacar brandom salim,0.0,netral
anak filsafat gabikin skripsi bikin paper halaman nyomot mazhab frankfurt doang gaperlu terjun lapang panaspanasan mukulin batu sembari nyium bau tai kucing gamake aplikasi penginderaan ga duit teliti galuluslulus si,0.0,netral
yattie lordzeus teddgus cieeeyg udah menang aja panas capek bgm curang pake fakta jg denial trs otak lu mana kalo cm utk mikir benar fakta aja ga,0.0,netral
sqytherin dennysiregar panas lu yakwkwkwktenangpesan lawan orang baikkalah lu,0.0,netral
carrillorosero entre panas aclaran la verdad es q oscurecen,0.0,netral
malaythai yg komen panas tu nape busuk hati dgn kelate yer hahahaa,0.0,netral
lapostaecu anderssonboscan sus panas aun no por qu estan campantes,-0.296,negatif
mykhaylo mudryk mco vs leeds gol disparos al marco pases precisos pases al rival toques en rival oport creadas tiros largos precisos httpstcooxnoqscj,0.0,netral
panas yo no sirvo pa trabajar ni estudiar ni hacer lo minimo vital mantenerme con vida,0.0,netral
finkledusty thats fine among the scientist community im referring to policy makers and governments who prefer ideology and opinion while ignoring stringent evidence gdner affirming care vaccines etc,0.3182,positif
anjjjj benci bat gw ma nama tidur pas panas taiiii tidur gw gelisah anjg,0.0,netral
acudan al bait mis panas bicho coreano de m xima calidad,0.0,netral
yo comparto las skills a mis panas siempre,0.0,netral
yo siempre eh dicho que son panas de uno la gente normal no pone en esas son panas de uno que quieren joder bajo el agua los cabns creen q saben,-0.296,negatif
tesla por eso yanitzia era su abogada en el ltimo caso que tuvo con al esposa porque los panas ayudan ,0.0,netral
panas qu es cashea,0.0,netral
anggaputraf gmna sih om ya pelican crosing kasih atap jalur krl atap jgn lupa tol pake atap warga ga panas panas hujan hujan kerja ga sih,0.0,netral
albnumancia cdbadajoz a los panas ni los presentaron algunos pensaban que quiz s saliese biena lo mejor era benzema,0.0,netral
tekak cepat kering mcm demam tp x benci nau dok ekon hari xon panas pulak,0.0,netral
dttenshink lo hiciste bien la verdad aparte te dije que con traje de maid te iba a pagar m s as que saca su billetera y saca algunos billetes toma d lares httpstcohtjlhsuxw,0.0,netral
sdquitooficial lduoficial chucha panas ojal suban alg n rato siempre extra a a los hijos aunque sean una decepci n,0.0,netral
as indicaron mis panas hoy en gulfstreampark matematicohipi acert un con su a marca y donde sugiri tres marcas buen factor de devoluci n muy bien httpstcotevmo,0.0,netral
kamicazu o sea tambi n son panas de ese man de log amp log,0.0,netral
dttenshink  como siempre el webon debe salvar el d a siri ven ac aun no pago tus servicios lo dijo sin darse cuenta del doble sentido httpstcogfqjluyts,-0.7003,negatif
ambulaninuninu partaimedsos ngaklah lantai ngak licin bahan conwod kayu tahan panas hujan kayu lapuk,0.0,netral
dar ketemu aja udah bikin jantung detak nggak amanorang kalo jatuh cinta kaya orang sakit suka panas dingin pusing nggak karuan,0.0,netral
